"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
010779,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,(334) 738-2140,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,7,01/01/2024,12/31/2024
010780,EAMC - LANIER,4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,(334) 756-9180,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
010781,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,(334) 682-4131,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,7,01/01/2024,12/31/2024
040779,ST BERNARDS FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,RANDOLPH,(870) 892-6000,REH_OP_10,Abdomen CT Use of Contrast Material,5.9,,01/01/2024,12/31/2024
040780,EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,EUREKA SPRINGS,AR,72632,CARROLL,(479) 253-7400,REH_OP_10,Abdomen CT Use of Contrast Material,5.4,,01/01/2024,12/31/2024
040781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,HELENA,AR,72342,PHILLIPS,(870) 338-5800,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
040782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,OSCEOLA,AR,72370,MISSISSIPPI,(870) 563-7000,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
040783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,DE WITT,AR,72042,ARKANSAS,(870) 946-3571,REH_OP_10,Abdomen CT Use of Contrast Material,1.7,,01/01/2024,12/31/2024
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,OCILLA,GA,31774,IRWIN,(229) 468-3845,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
110780,BLUE RIDGE MEDICAL CENTER,2855 OLD HIGHWAY 5 NORTH,BLUE RIDGE,GA,30513,FANNIN,(706) 632-3711,REH_OP_10,Abdomen CT Use of Contrast Material,7,,01/01/2024,12/31/2024
110781,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,HAWKINSVILLE,GA,31036,PULASKI,(478) 783-0200,REH_OP_10,Abdomen CT Use of Contrast Material,6.5,,01/01/2024,12/31/2024
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,CASCADE,ID,83611,VALLEY,(208) 382-4242,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,7,01/01/2024,12/31/2024
170779,SCK HEALTH,6401 PATTERSON PARKWAY,ARKANSAS CITY,KS,67005,COWLEY,(620) 442-2500,REH_OP_10,Abdomen CT Use of Contrast Material,40.1,,01/01/2024,12/31/2024
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,MOUNDRIDGE,KS,67107,MCPHERSON,(620) 345-6391,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,LA CROSSE,KS,67548,RUSH,(785) 222-2545,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,MARION,KY,42064,CRITTENDEN,(270) 965-5281,REH_OP_10,Abdomen CT Use of Contrast Material,5.1,,01/01/2024,12/31/2024
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,NAPOLEONVILLE,LA,70390,ASSUMPTION,(985) 369-3600,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
230779,STURGIS HOSPITAL,916 MYRTLE AVE,STURGIS,MI,49091,ST. JOSEPH,(269) 651-7824,REH_OP_10,Abdomen CT Use of Contrast Material,4,,01/01/2024,12/31/2024
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MAHNOMEN,MN,56557,MAHNOMEN,(218) 935-2511,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,FAYETTE,MS,39069,JEFFERSON,(601) 786-3401,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
250781,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,BATESVILLE,MS,38606,PANOLA,(662) 563-5611,REH_OP_10,Abdomen CT Use of Contrast Material,5.3,,01/01/2024,12/31/2024
250782,GREENE COUNTY HOSPITAL,1017 JACKSON STREET,LEAKESVILLE,MS,39451,GREENE,(601) 394-4135,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
250783,PERRY COUNTY GENERAL HOSPITAL,206 BAY ST,RICHTON,MS,39476,GREENE,(601) 788-6316,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
250784,SHARKEY ISSAQUENA COMMUNITY HOSPITAL,47 SOUTH FOURTH ST,ROLLING FORK,MS,39159,SHARKEY,(662) 873-4395,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
250785,PROGRESSIVE HEALTH GROUP OF HOUSTON,1002 EAST MADISON STREET,HOUSTON,MS,38851,CHICKASAW,(662) 456-3700,REH_OP_10,Abdomen CT Use of Contrast Material,Not Available,1,01/01/2024,12/31/2024
