Facility ID,Facility Name,Address,State,ZIP Code
10779,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,AL,36089
10780,EAMC - LANIER,4800 48TH STREET,AL,36854
10781,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,AL,36726
40779,ST BERNARDS FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,AR,72455
40780,EUREKA SPRINGS HOSPITAL COMMISSION,24 NORRIS STREET,AR,72632
40781,HELENA REGIONAL MEDICAL CENTER,1801 MARTIN LUTHER KING JR DRIVE,AR,72342
40782,SOUTH MISSISSIPPI COUNTY REGIONAL MEDICAL CENTER,611 WEST LEE AVENUE,AR,72370
40783,"DEWITT HOSPITAL & NURSING HOME, INC",1641 WHITEHEAD DRIVE,AR,72042
110779,IRWIN COUNTY HOSPITAL,710 N IRWIN AVENUE,GA,31774
110780,BLUE RIDGE MEDICAL CENTER,2855 OLD HIGHWAY 5 NORTH,GA,30513
110781,TAYLOR REGIONAL HOSPITAL,222 PERRY HWY,GA,31036
130779,CASCADE MEDICAL CENTER,402 LAKE CASCADE PARKWAY,ID,83611
170779,SCK HEALTH,6401 PATTERSON PARKWAY,KS,67005
170780,"MERCY HOSPITAL, INC",218 E PACK STREET,KS,67107
170781,RUSH COUNTY MEMORIAL HOSPITAL,801 LOCUST ST,KS,67548
180779,CRITTENDEN COMMUNITY HOSPITAL,520 WEST GUM STREET,KY,42064
190779,ASSUMPTION COMMUNITY HOSPITAL,135 HIGHWAY 402,LA,70390
230779,STURGIS HOSPITAL,916 MYRTLE AVE,MI,49091
240779,MAHNOMEN HEALTH CENTER,414 W JEFFERSON PO BOX 396,MN,56557
250780,JEFFERSON COUNTY HOSPITAL,870 S MAIN,MS,39069
250781,PANOLA MEDICAL CENTER,303 MEDICAL CENTER DRIVE,MS,38606
250782,GREENE COUNTY HOSPITAL,1017 JACKSON STREET,MS,39451
250783,PERRY COUNTY GENERAL HOSPITAL,206 BAY ST,MS,39476
250784,SHARKEY ISSAQUENA COMMUNITY HOSPITAL,47 SOUTH FOURTH ST,MS,39159
250785,PROGRESSIVE HEALTH GROUP OF HOUSTON,1002 EAST MADISON STREET,MS,38851
260779,PARKLAND HEALTH CENTER - BONNE TERRE,7245 RAIDER ROAD,MO,63628
280779,FRIEND COMMUNITY HEALTHCARE SYSTEM,905 SECOND STREET,NE,68359
320779,GUADALUPE COUNTY HOSPITAL,"117 CAMINO DE VIDA, SUITE 100",NM,88435
330799,CLIFTON-FINE HOSPITAL,1014 OSWEGATCHIE TRAIL,NY,13690
370779,STILLWATER MEDICAL - PERRY,501 N 14TH ST,OK,73077
370780,STILLWATER MEDICAL-BLACKWELL,710 S 13TH STREET,OK,74631
370781,HARPER COUNTY COMMUNITY HOSPITAL,1003 US HIGHWAY 64 NORTH,OK,73834
370783,ELKVIEW GENERAL HOSPITAL,429 WEST ELM STREET,OK,73651
440779,TRISTAR ASHLAND CITY MEDICAL CENTER,313 NORTH MAIN ST,TN,37015
440780,WAYNE MEDICAL CENTER,103 J V MANGUBAT DR,TN,38485
670779,CROSBYTON CLINIC HOSPITAL,710 WEST MAIN STREET,TX,79322
670780,FALLS COMMUNITY HOSPITAL AND CLINIC,322 COLEMAN STREET,TX,76661
670781,ANSON GENERAL HOSPITAL,101 AVENUE J,TX,79501
670783,CHI ST LUKES HEALTH MEMORIAL SAN AUGUSTINE,511 HOSPITAL ST,TX,75972
