ccn,facility_name,state,ownership,overall_rating,cahsp,band,fi,qi,oi,wi,ci,dual_mandate_met,binding_constraint,recommended_action,fi_has_signal,qi_has_signal,oi_has_signal
021309,BRISTOL BAY DBA KANAKANAK HOSPITAL,AK,Voluntary non-profit - Private,,45.5,Developing,0.5167,0.5,0.5,0.5,0.0,True,qi,MBQIP quality push: prioritize readmission and safety measures,False,False,False
021307,CORDOVA COMMUNITY MEDICAL CENTER,AK,Government - Local,,42.5,Developing,0.4167,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
021310,MANIILAQ HEALTH CENTER,AK,Tribal,,44.5,Developing,0.4833,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
021308,NORTON SOUND REGIONAL HOSPITAL,AK,Tribal,,44.5,Developing,0.4833,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
021311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,AK,Voluntary non-profit - Church,,63.83,Moderate,0.5167,1.0,0.5,0.5,0.3333,True,oi,"Operational efficiency: ED throughput, occupancy, outpatient density",False,True,False
021304,PETERSBURG MEDICAL CENTER,AK,Government - Local,,42.5,Developing,0.4167,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,AK,Voluntary non-profit - Church,,45.5,Developing,0.5167,0.5,0.5,0.5,0.0,True,qi,MBQIP quality push: prioritize readmission and safety measures,False,False,False
021302,PROVIDENCE SEWARD HOSPITAL,AK,Government - Local,,42.5,Developing,0.4167,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
021301,PROVIDENCE VALDEZ MEDICAL CENTER,AK,Government - Local,,42.5,Developing,0.4167,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,Tribal,,44.5,Developing,0.4833,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
021305,SEARHC WRANGELL MEDICAL CENTER & LTC,AK,Tribal,,44.5,Developing,0.4833,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
021313,SOUTH PENINSULA HOSPITAL,AK,Voluntary non-profit - Private,,45.5,Developing,0.5167,0.5,0.5,0.5,0.0,True,qi,MBQIP quality push: prioritize readmission and safety measures,False,False,False
021314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,AK,Tribal,3,51.17,Moderate,0.4833,0.5,0.5,0.5,0.6667,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,True,True
011308,CRENSHAW COMMUNITY HOSPITAL,AL,Government - Hospital District or Authority,,42.5,Developing,0.4167,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
011307,MEDICAL CENTER BARBOUR,AL,Government - Hospital District or Authority,,42.5,Developing,0.4167,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
011304,OCHSNER CHOCTAW GENERAL,AL,Voluntary non-profit - Private,,45.5,Developing,0.5167,0.5,0.5,0.5,0.0,True,qi,MBQIP quality push: prioritize readmission and safety measures,False,False,False
011302,RED BAY HOSPITAL,AL,Government - Hospital District or Authority,,42.5,Developing,0.4167,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
011305,ST VINCENTS BLOUNT,AL,Voluntary non-profit - Private,,33.83,Developing,0.5167,0.0,0.5,0.5,0.3333,False,qi,MBQIP quality push: prioritize readmission and safety measures,False,True,False
011306,TANNER MEDICAL CENTER-EAST ALABAMA,AL,Government - Hospital District or Authority,,42.5,Developing,0.4167,0.5,0.5,0.5,0.0,False,fi,"Drive operating margin: revenue-cycle + payer-mix diagnostic, labor-ratio review",False,False,False
