ccn,facility_name,state,ownership,fi,qi,fi_gap,qi_gap,max_gap,cahsp,band,cohort,is_quick_win
061301,RIO GRANDE HOSPITAL,CO,Proprietary,0.55,1.0,0.0,0.0,0.0,78.17,High,dual_solved,False
051329,SUTTER LAKESIDE HOSPITAL,CA,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
141325,OSF SAINT LUKE MEDICAL CENTER,IL,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
151328,INDIANA UNIVERSITY HEALTH BEDFORD HOSPITAL,IN,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
151312,INDIANA UNIVERSITY HEALTH WHITE MEMORIAL HOSPITAL,IN,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
261321,HEDRICK MEDICAL CENTER,MO,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
271344,SIDNEY HEALTH CENTER,MT,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
341304,ECU HEALTH BERTIE HOSPITAL,NC,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
361320,HOLZER MEDICAL CENTER JACKSON,OH,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
361306,MERCY ALLEN HOSPITAL,OH,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
361312,MERCY HEALTH - URBANA HOSPITAL,OH,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
521358,DOOR COUNTY MEDICAL CENTER,WI,Voluntary non-profit - Private,0.5167,1.0,0.0,0.0,0.0,77.17,High,dual_solved,False
051310,ADVENTIST HEALTH HOWARD MEMORIAL,CA,Voluntary non-profit - Private,0.5167,0.75,0.0,0.0,0.0,69.67,Moderate,dual_solved,False
151334,NORTON SCOTT HOSPITAL,IN,Proprietary,0.55,0.875,0.0,0.0,0.0,69.42,Moderate,dual_solved,False
171327,ELLSWORTH COUNTY MEDICAL CENTER,KS,Proprietary,0.55,0.875,0.0,0.0,0.0,69.42,Moderate,dual_solved,False
